movieId,imdbId,tmdbId,title,popularity,vote_average,vote_count,genres,keywords,directors,actors
14,113987,10858.0,Nixon,5.092,7.1,72.0,History|Drama,usa president|presidential election|watergate scandal|biography|governer|historical figure,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel|Annabeth Gish|Larry Hagman|Madeline Kahn|Dan Hedaya|Bridgette Wilson|Tom Bower|Tony Goldwyn|Edward Herrmann|Tony Lo Bianco|Saul Rubinek|Robert Beltran|John Cunningham|John Diehl|John C. McGinley|Michael Chiklis|Ric Young|Boris Sichkin|Sam Waterston|Marley Shelton
15,112760,1408.0,Cutthroat Island,7.284477000000001,5.7,137.0,Action|Adventure,exotic island|treasure|map|ship|scalp|pirate,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones|Mary Peach|Thomas Lockyer|Roger Booth|George Murcell|Simon Atherton|Dickey Beer|Christopher Halliday|Chris Johnston|Richard Leaf|Tam White|Rupert Vansittart|Nick Bartlett|David Bailie|Kwame Kwei-Armah|Ramon Tikaram|Christopher Adamson
16,112641,524.0,Casino,10.137389,7.8,1343.0,Drama|Crime,poker|drug abuse|1970s|overdose|illegal prostitution,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|Pasquale Cajano|L.Q. Jones|Dick Smothers|Frank Vincent|Oscar Goodman|Richard Riehle|Catherine Scorsese|Vinny Vella|Nobu Matsuhisa|Erika von Tagen|Nick Mazzola|David Rose|John Bloom|Joseph Rigano|Philip Suriano|Melissa Prophet|Bill Allison|Joe La Due|Joseph P. Reidy|Craig Vincent|Carl Ciarfalio|Gene Ruffini|Dominick Grieco|Clem Caserta|Daniel P. Conte|Joey DePinto|Jack Orend|Paul Herman|Jed Mills|Claudia Haro|Ffolliott Le Coque|John Manca|Ronald Maccone|Joseph Bono|Frank Adonis|Anthony Russell|Stuart Nisbet|Alfred Nittoli
17,114388,4584.0,Sense and Sensibility,10.673167,7.2,364.0,Drama|Romance,bowling|based on novel|servant|country life|jane austen|inheritance|military officer|period drama|rainstorm,Ang Lee,Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson|Alan Rickman|Imogen Stubbs|Greg Wise|Hugh Laurie|Imelda Staunton|Robert Hardy|Oliver Ford Davies|James Fleet|Harriet Walter|Gemma Jones|Emilie François|Elizabeth Spriggs|Richard Lumsden
18,113101,5.0,Four Rooms,9.026586,6.5,539.0,Crime|Comedy,hotel|new year's eve|witch|bet|hotel room|sperm|los angeles|hoodlum|woman director|episode film,Allison Anders|Alexandre Rockwell|Robert Rodriguez|Quentin Tarantino,Tim Roth|Antonio Banderas|Jennifer Beals|Madonna|Marisa Tomei|Bruce Willis|Quentin Tarantino|Sammi Davis|Amanda de Cadenet|Valeria Golino|Lili Taylor|Lawrence Bender|Ione Skye|Alicia Witt|David Proval|Lana McKissack|Tamlyn Tomita|Kathy Griffin|Paul Calderon|Salma Hayek|Patricia Vonne|Danny Verduzco|Kimberly Blair|Marc Lawrence
19,112281,9273.0,Ace Ventura: When Nature Calls,8.205447999999999,6.1,1128.0,Crime|Comedy|Adventure,africa|indigenous|human animal relationship|bat,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny D. Daniels|Sam Motoana Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad
20,113845,11517.0,Money Train,7.3379059999999985,5.4,224.0,Action|Comedy|Crime,brother brother relationship|subway|new york city|new york subway|train robbery,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Aida Turturro|Vincent Pastore|Enrico Colantoni|Bill Nunn|Katie Gill|Jeremy Roberts|Joe Bacino
21,113161,8012.0,Get Shorty,12.669608,6.4,305.0,Comedy|Thriller|Crime,gamble|miami|based on novel|job|murder|travel|mafia|money|debt|mobster|business|hollywood|gangster|crime|violence|drug|produce|con,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Bobby Slayton|Linda Hart|Jeffrey J. Stephen
22,112722,1710.0,Copycat,10.701801,6.5,199.0,Drama|Thriller,police brutality|psychology|police operation|police protection|serial kiler|psychologist|cowardliness,Jon Amiel,Sigourney Weaver|Holly Hunter|Will Patton|William McNamara|Harry Connick Jr.|J.E. Freeman|Dermot Mulroney|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott Devenney|David Michael Silverman
23,112401,9691.0,Assassins,11.065939,6.0,394.0,Action|Adventure|Crime|Thriller,competition|assassin|cia|bank|cat|mexican standoff|seattle|hitman|mission of murder|hidden camera|rivalry|rescue|shootout|police chase|sniper rifle|silence|double cross|caribbean|detroit michigan,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid|Choco Orta|Germán Legarreta
24,114168,12665.0,Powder,12.133094,6.3,143.0,Drama|Fantasy|Science Fiction|Thriller,dead animal|shot to death|teenage boy|held at gunpoint|teacher student relationship|albino|faint|extrasensory perception,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith
25,113627,451.0,Leaving Las Vegas,10.332025,7.1,365.0,Drama|Romance,individual|prostitute|alcohol|casino|love at first sight|lovesick|film producer|screenwriter|hotel room|dying and death|rage and hate|unsociability|alcohol|los angeles|alcohol abuse|attempted suicide,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Reynolds |Valeria Golino|Graham Beckel|Mariska Hargitay|Laurie Metcalf|Shawnee Smith|David Kriegel
26,114057,16420.0,Othello,1.845899,7.0,33.0,Drama,shakespeare|jealousy|friend|moor,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Indra Ové|Michael Maloney|Anna Patrick|Nicholas Farrell|Michael Sheen
27,114011,9263.0,Now and Then,8.681325,6.6,91.0,Comedy|Drama|Family,1970s|female friendship|coming of age|gynecologist|woman director,Lesli Linka Glatter,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Walter Sparrow|Devon Sawa|Cloris Leachman|Janeane Garofalo|Hank Azaria|Bonnie Hunt|Lolita Davidovich|Brendan Fraser
28,114117,17015.0,Persuasion,2.228434,7.4,36.0,Drama|Romance,captain|napoleonic wars|old flame|admirer,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Victoria Hamilton|Corin Redgrave|Emma Roberts|Robert Glenister|Richard McCabe|Helen Schlesinger|Jane Wood|David Collings|Darlene Johnson|Cinnamon Faye|Isaac Maxwell-Hunt|Roger Llewellyn|Sally George|Lonnie James
29,112682,902.0,The City of Lost Children,9.822423,7.6,308.0,Fantasy|Science Fiction|Adventure,clone|dream|island|eye|dystopia|aging|friendship|rescue|children|girl|childhood,Jean-Pierre Jeunet|Marc Caro,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Cris Huerta|Jean-Louis Trintignant|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch|Alexis Pivot|François Hadji-Lazaro|Dominique Bettenfeld|Lotfi Yahya Jedidi|Thierry Gibault|Marc Caro|Ham-Chau Luong|Frankie Pain|Enrique Villanueva|Dominique Chevalier|Lorella Cravotta|Éric Houzelot|Philippe Beautier|Marc Amyot|Jean-Philippe Labadie|Raphaèle Bouchard|Elisabeth Etienne|Rachel Boulenger|Michel Motu|Nane Germon
30,115012,37557.0,Shanghai Triad,1.100915,6.5,17.0,Drama|Crime,servant|cabaret|shanghai|diva|uncle|mistress|umbrella,Zhang Yimou,Gong Li|Li Bao-Tian|Wang Xiaoxiao|Li Xuejian|Chun Sung|Fu Biao
31,112792,9909.0,Dangerous Minds,9.481338,6.4,249.0,Drama|Crime,rap music|karate|high school|naval officer|teacher|amusement park,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|John Neville|Beatrice Winde|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Mercello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt
32,114746,63.0,Twelve Monkeys,12.297305,7.4,2470.0,Science Fiction|Thriller|Mystery,schizophrenia|philadelphia|stockholm syndrome|time travel|post-apocalyptic|dystopia|lethal virus|monkey|subterranean,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse|Jon Seda|Frank Gorshin|Joseph Melito|Aaron Michael Lacey|Christopher Meloni|Joey Perillo|LisaGay Hamilton|Matt Ross|Annie Golden|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Rozwill Young|Nell Johnson|Frederick Strother|Charles Techman|Rick Warner|Anthony 'Chip' Brienza|Bruce Kirkpatrick|Wilfred Williams|Joilet Harris|Drucie McDaniel|John Blaisse|Louis Lippa|Stan Kang|Pat Dias|Felix Pire|Karl Warren|Joseph McKenna|Stephen Bridgewater|Ray Huffman|Charley Scalies|Robert O'Neill|Paul Meshejian|Kevin Thigpen|Harry O'Toole|Jann Ellis|Michael Ryan Segal|Korchenko|Chuck Jeffreys|Barry Price|John Panzarella|Janet Zappala|Lisa Talerico|Tiffany Baldwin|C.J. Byrnes|Tom Detrik|Joe Gerety|Renee Spei|Bonnie Loev|Raymond Mamrak|Sal Mazzotta|Allelon Ruggiero|Thang
34,112431,9598.0,Babe,14.404764000000002,6.0,756.0,Fantasy|Drama|Comedy|Family,sheep|pig|affection|piglet|heroism|talking animal|separation|german shepherd|talking pig,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|James Cromwell|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|Magda Szubanski|Zoe Burton|Paul Goddard|Wade Hayward|Brittany Byrnes|Mary Acres
35,112637,47018.0,Carrington,1.4933610000000002,6.4,16.0,History|Drama|Romance,england|painter|conscientious objector|independent film|soldier,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Jeremy Northam|Alex Kingston|Richard Clifford|David Ryall|Stephen Boxer
36,112818,687.0,Dead Man Walking,6.891317,7.3,350.0,Drama,prison|rape|socially deprived family|penalty|death penalty|despair|death row|therapist|self-discovery|prison cell|court case|death sentence|doomed man|sentence|lethal injection|forgiveness|charity|rage and hate|unsociability|right and justice|court|electric chair|cowardliness,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Jack Black|Ray Aranha|Peter Sarsgaard|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Larry Pine|Kevin Cooney|Clancy Brown|Michael Cullen|Missy Yager|Jenny Krochmal|Jon Abrahams|Arthur Bridgers|Steve Carlisle|Eva Amurri Martino|Jack Henry Robbins|Dennis Neal|Molly Bryant|Adele Robbins|Pete Burris|Joan Glover|Lenore Banks|Scott Sowers|Cortez Nance Jr.|Adam Nelson|Jeremy Knaster|Marcus Lyle Brown|Anthony Michael Frederick|Thomas McGowan|Codie Scott|Helen Prejean
37,112286,139405.0,Across the Sea of Time,0.114469,3.5,2.0,Adventure|History|Drama|Family,,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman|Matt Malloy|Abby Lewis
38,113442,33689.0,It Takes Two,7.777735000000002,6.1,149.0,Comedy|Family|Romance,orphan|identical twin,Andy Tennant,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett|Philip Bosco|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Michèle Lonsdale Smith|Sean Orr|Elizabeth Walsh
39,112697,9603.0,Clueless,9.882383,6.9,828.0,Comedy|Drama|Romance,puberty|high school|make a match|spoiled child|gay interest|conflict|woman director,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Wallace Shawn|Twink Caplan|Justin Walker|Julie Brown|Nicole Bilderback
40,112749,34615.0,"Cry, the Beloved Country",0.894647,6.7,13.0,Drama,south africa,Darrell James Roodt,James Earl Jones|Charles S. Dutton|Jack Robinson|Tsholofelo Wechoemang|Ramalao Makhene|Richard Harris|Dolly Rathebe|Jennifer Steyn|Ian Roberts|David Clatworthy
41,114279,31174.0,Richard III,4.561387,6.9,50.0,Drama|War,england|shakespeare|kidnapped|murder|king,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent|Kristin Scott Thomas|Adrian Dunbar|Maggie Smith|Tim McInnerny|Robert Downey Jr.|Edward Hardwicke|Nigel Hawthorne|Jim Carter|Dominic West|John Wood|Roger Hammond|Bill Paterson|Donald Sumpter|James Dreyfus|Derek Lyons
42,112819,11443.0,Dead Presidents,9.87957,6.6,80.0,Action|Crime|Drama|History,money|loss of virginity|armored truck,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Clifton Powell|Terrence Howard|Bokeem Woodbine|Sticky Fingaz|Clifton Collins Jr|Elizabeth Rodriguez|Michael Imperioli
43,114272,35196.0,Restoration,10.979269,6.3,30.0,Drama|Romance,jealousy|medicine|fountain|court|wealth|gloves,Michael Hoffman,Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis|Hugh Grant|Polly Walker|Ian McKellen|Ian McDiarmid|Mary MacLeod|Willie Ross
44,113855,9312.0,Mortal Kombat,10.870138,5.4,452.0,Action|Fantasy,martial arts|monster|island|gore|sorcerer|tournament|violence|based on video game|hand to hand combat,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Ed Boon
45,114681,577.0,To Die For,10.448481,6.7,177.0,Fantasy|Drama|Comedy|Thriller,adultery|winter|obsession|television|new hampshire,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|David Cronenberg|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper
46,113347,11861.0,How To Make An American Quilt,4.485958,6.5,38.0,Drama|Romance,wedding vows|marriage proposal|married couple|advice|marriage|love|family holiday|extramarital affair|grandmother|woman director,Jocelyn Moorhouse,Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan|Jean Simmons|Maya Angelou|Alfre Woodard|Dermot Mulroney|Lois Smith|Kate Capshaw|Rip Torn|Johnathon Schaech|Samantha Mathis|Joanna Going|Esther Rolle|Jared Leto|Claire Danes|Lecy Goranson|Holland Taylor|Tim Guinee|Derrick O'Connor|Loren Dean|Melinda Dillon|Richard Jenkins|Denis Arndt|Adam Baldwin|Michael McElroy|Ari Meyers|Jane Alden|Tamala Jones|Rae'Ven Larrymore Kelly|Alicia Goranson|Will Estes|Mykelti Williamson
47,114369,807.0,Se7en,18.45743,8.1,5915.0,Crime|Mystery|Thriller,detective|s.w.a.t.|drug deal|rage and hate|pride and vanity|insomnia|investigator|pension|police|serial kiler,David Fincher,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey|R. Lee Ermey|Richard Roundtree|Richard Schiff|Julie Araskog|Mark Boone Junior|John Cassini|Reg E. Cathey|Peter Crombie|Hawthorne James|Michael Massee|Leland Orser|Richard Portnow|Daniel Zacapa|Alfonso Freeman|Harris Savides|Andrew Kevin Walker|Richmond Arquette|Pamala Tyson|Emily Wagner|Shannon Wilcox|George Christy|Endre Hules|William Davidson|Bob Collins|Dominique Jennings|Allan Kolman|Gene Borkan|Mario Di Donato|Harrison White|Bob Stephenson|Michael Reid MacKay|Lennie Loftin|Martin Serene|David Correia|Lexie Bigham|Evan Mirand|Paul Eckstein|Rachel Flanagan|Heidi Schanz|Brian Evers|James Deeth|Charles A. Tamburro|Charles S. Dutton|Arthur Max
48,114148,10530.0,Pocahontas,13.280069,6.7,1509.0,Adventure|Animation|Drama|Family,culture clash|settler|forbidden love|colony|music|gold rush|princess|romance|native american|anime|virginia|star crossed lovers|musket|based on myths or folklore|17th century|shaman|song|animal sidekick,Mike Gabriel|Eric Goldberg,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir|Russell Means|Christian Bale|Judy Kuhn|Linda Hunt|Danny Mann|Billy Connolly|Joe Baker|Frank Welker|Michelle St. John|James Apaumut Fall|Gordon Tootoosis|Jim Cummings
49,114916,8391.0,When Night Is Falling,3.302524,5.9,10.0,Drama|Romance,professor|lgbt|woman director,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny|Don McKellar
50,114814,629.0,The Usual Suspects,16.302466,8.1,3334.0,Drama|Crime|Thriller,law|relatives|theft|criminal|criminal mastermind|hungarian|sibling,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak|Pete Postlethwaite|Kevin Spacey|Suzy Amis|Giancarlo Esposito|Benicio del Toro|Dan Hedaya|Paul Bartel|Carl Bressler|Christine Estabrook|Clark Gregg|Morgan Hunter|Louis Lombardi|Frank Medrano|Ron Gilbert
52,113819,11448.0,Mighty Aphrodite,15.899134,6.7,145.0,Comedy|Romance,prostitute|adopted|adoptive father|childlessness|looking for  birth parents|adoptive mother|independent film|illegal prostitution|child,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter|F. Murray Abraham|Donald Symington|Claire Bloom|Olympia Dukakis|Michael Rapaport|David Ogden Stiers|Jack Warden|Peter Weller|Danielle Ferland
53,110299,49133.0,Lamerica,1.361286,7.7,11.0,Drama|Foreign,independent film,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Marjeta Ljarja
54,112499,26441.0,The Big Green,5.982764,5.2,41.0,Action|Adventure|Comedy|Family,sport|kids and family|soccer|woman director,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Bug Hall|Jessica Robertson|Patrick Renna|Billy L. Sullivan|Chauncey Leopardi|Jordan Brower|Hayley Kolb|Haley Miller|Ashley Welch
55,113158,97406.0,Georgia,4.093443,6.1,15.0,Drama,alcohol|artist|music|drug|band,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter
57,113321,9089.0,Home for the Holidays,8.416802,6.3,39.0,Comedy|Drama|Romance,baltimore|thanksgiving|family clan|family conflict|woman director,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Claire Danes|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|David Strathairn|Cynthia Stevenson
58,110877,11010.0,The Postman,10.168437,7.6,181.0,Comedy|Drama|Romance,island|letter|postman|fisherman|poet,Michael Radford,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Mariano Rigillo|Anna Bonaiuto|Simona Caparrini|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro|Orazio Stracuzzi|Sergio Solli|Alfredo Cozzolino
59,112714,99040.0,The Confessional,0.120789,6.5,2.0,Thriller|Drama|Mystery,,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage
